"session_id","start_time","end_time","gender"
"u10001","2014-11-14 00:02:14","2014-11-14 00:02:20","female"
"u10002","2014-12-12 14:12:05","2014-12-12 14:12:06","female"
"u10003","2014-11-14 00:02:41","2014-11-14 00:16:40","female"
"u10004","2014-11-14 00:21:55","2014-11-14 00:21:57","female"
"u10005","2014-11-14 00:26:08","2014-11-14 00:29:25","female"
"u10006","2014-11-14 12:40:37","2014-11-14 12:40:42","female"
"u10007","2014-11-17 19:11:16","2014-11-17 19:16:44","female"
"u10008","2014-11-17 19:20:06","2014-11-17 19:21:54","female"
"u10009","2014-11-18 13:22:08","2014-11-18 13:22:10","female"
"u10010","2014-11-27 18:29:47","2014-11-27 18:29:51","female"
"u10011","2014-12-02 08:11:29","2014-12-02 08:16:04","female"
"u10012","2014-12-05 08:50:36","2014-12-05 08:53:48","female"
"u10013","2014-12-05 19:11:08","2014-12-05 19:11:15","female"
"u10014","2014-12-06 12:53:31","2014-12-06 12:55:37","female"
"u10015","2014-12-06 13:48:31","2014-12-06 13:48:34","female"
"u10016","2014-12-06 14:54:04","2014-12-06 14:54:09","female"
"u10017","2014-12-06 16:00:32","2014-12-06 16:00:41","female"
"u10018","2014-12-06 16:09:40","2014-12-06 16:11:42","female"
"u10019","2014-12-06 16:37:47","2014-12-06 16:37:54","female"
"u10020","2014-12-06 17:07:57","2014-12-06 17:08:51","female"
"u10021","2014-12-06 17:18:00","2014-12-06 17:18:53","female"
"u10022","2014-12-06 17:28:15","2014-12-06 17:28:58","female"
"u10023","2014-12-08 22:38:36","2014-12-08 22:38:41","female"
"u10024","2014-12-09 16:53:17","2014-12-09 16:53:23","female"
"u10025","2014-12-09 17:13:23","2014-12-09 17:13:30","female"
"u10026","2014-12-09 17:53:33","2014-12-09 17:53:36","female"
"u10027","2014-12-09 18:03:36","2014-12-09 18:03:38","female"
"u10028","2014-12-09 18:23:41","2014-12-09 18:23:45","female"
"u10029","2014-12-09 18:33:43","2014-12-09 18:33:53","female"
"u10030","2014-12-09 18:43:46","2014-12-09 18:43:51","female"
"u10031","2014-12-09 19:13:53","2014-12-09 19:14:00","female"
"u10032","2014-12-09 19:23:56","2014-12-09 19:23:59","female"
"u10033","2014-12-09 20:04:07","2014-12-09 20:04:17","female"
"u10034","2014-12-09 21:24:30","2014-12-09 21:24:41","female"
"u10035","2014-12-09 21:44:36","2014-12-09 21:44:46","female"
"u10036","2014-12-09 22:24:48","2014-12-09 22:24:53","female"
"u10037","2014-12-09 22:34:50","2014-12-09 22:34:55","female"
"u10038","2014-12-09 22:44:52","2014-12-09 22:44:55","female"
"u10039","2014-12-09 23:15:02","2014-12-09 23:15:03","female"
"u10040","2014-12-09 23:45:09","2014-12-09 23:45:15","female"
"u10041","2014-12-09 23:55:12","2014-12-09 23:55:23","female"
"u10042","2014-12-15 18:14:04","2014-12-15 18:15:07","female"
"u10043","2014-12-15 18:51:14","2014-12-15 18:51:18","female"
"u10044","2014-12-15 20:10:44","2014-12-15 20:10:46","female"
"u10045","2014-12-16 21:06:44","2014-12-16 21:07:35","female"
"u10046","2014-11-14 00:18:46","2014-11-14 00:18:52","female"
"u10047","2014-11-14 00:22:53","2014-11-14 00:28:53","female"
"u10048","2014-11-14 00:33:25","2014-11-14 00:44:03","female"
"u10049","2014-11-14 00:49:35","2014-11-14 00:51:56","female"
"u10050","2014-11-14 00:55:19","2014-11-14 00:55:29","female"
"u10051","2014-11-14 01:02:16","2014-11-14 01:03:21","female"
"u10052","2014-11-14 01:28:24","2014-11-14 01:28:29","female"
"u10053","2014-11-14 01:33:13","2014-11-14 01:33:15","female"
"u10054","2014-11-14 01:48:48","2014-11-14 01:48:56","female"
"u10055","2014-11-14 01:56:26","2014-11-14 01:58:55","female"
"u10056","2014-11-14 02:03:38","2014-11-14 02:03:45","female"
"u10057","2014-11-14 11:31:56","2014-11-14 11:32:05","female"
"u10058","2014-11-14 15:06:13","2014-11-14 15:06:15","female"
"u10059","2014-11-14 15:09:24","2014-11-14 15:09:34","female"
"u10060","2014-11-14 15:20:44","2014-11-14 15:20:46","female"
"u10061","2014-11-14 18:34:27","2014-11-14 18:34:34","female"
"u10062","2014-11-14 18:42:49","2014-11-14 18:42:54","female"
"u10063","2014-11-14 20:19:34","2014-11-14 20:19:35","female"
"u10064","2014-11-14 20:31:18","2014-11-14 20:31:24","female"
"u10065","2014-11-15 22:24:11","2014-11-15 22:24:13","female"
"u10066","2014-11-15 22:27:15","2014-11-15 22:34:15","female"
"u10067","2014-11-15 22:59:11","2014-11-15 22:59:19","female"
"u10068","2014-11-19 00:54:15","2014-11-19 00:56:28","female"
"u10069","2014-11-19 01:06:44","2014-11-19 01:08:16","female"
"u10070","2014-11-19 01:15:13","2014-11-19 01:15:17","female"
"u10071","2014-11-30 01:44:52","2014-11-30 01:45:02","female"
"u10072","2014-12-02 00:00:28","2014-12-02 00:04:52","female"
"u10073","2014-12-14 11:53:23","2014-12-14 11:56:21","female"
"u10074","2014-12-18 17:52:36","2014-12-18 17:52:40","female"
"u10075","2014-12-21 14:16:59","2014-12-21 14:17:52","female"
"u10076","2014-12-21 15:04:28","2014-12-21 15:04:34","female"
"u10077","2014-12-21 15:20:03","2014-12-21 15:20:08","female"
"u10078","2014-12-21 15:29:29","2014-12-21 15:29:37","female"
"u10079","2014-12-21 17:44:15","2014-12-21 17:46:57","female"
"u10080","2014-12-21 17:50:02","2014-12-21 17:50:12","female"
"u10081","2014-12-21 17:57:29","2014-12-21 17:59:01","female"
"u10082","2014-12-21 18:09:28","2014-12-21 18:11:40","female"
"u10083","2014-12-21 18:15:26","2014-12-21 18:18:09","female"
"u10084","2014-12-21 18:25:07","2014-12-21 18:26:58","female"
"u10085","2014-12-21 18:29:48","2014-12-21 18:34:26","female"
"u10086","2014-12-21 18:40:50","2014-12-21 18:47:10","female"
"u10087","2014-12-21 18:52:17","2014-12-21 18:52:19","female"
"u10088","2014-12-21 18:56:21","2014-12-21 19:05:19","female"
"u10089","2014-12-21 19:08:10","2014-12-21 19:08:49","female"
"u10090","2014-12-22 23:19:49","2014-12-22 23:21:50","female"
"u10091","2014-11-14 00:05:19","2014-11-14 00:05:27","female"
"u10092","2014-11-14 00:13:49","2014-11-14 00:13:51","female"
"u10093","2014-12-07 20:25:47","2014-12-07 20:27:08","female"
"u10094","2014-12-07 20:49:31","2014-12-07 20:51:01","female"
"u10095","2014-12-07 21:14:34","2014-12-07 21:14:39","female"
"u10096","2014-12-07 21:18:09","2014-12-07 21:18:57","female"
"u10097","2014-12-07 22:33:38","2014-12-07 22:34:22","female"
"u10098","2014-11-14 00:06:59","2014-11-14 00:07:09","female"
"u10099","2014-11-14 00:17:15","2014-11-14 00:17:23","female"
"u10100","2014-11-14 00:59:12","2014-11-14 00:59:18","female"
"u10101","2014-11-14 01:19:40","2014-11-14 01:19:50","female"
"u10102","2014-11-14 01:50:29","2014-11-14 01:50:40","female"
"u10103","2014-11-14 09:02:52","2014-11-14 09:03:26","female"
"u10104","2014-11-14 09:13:33","2014-11-14 09:14:18","female"
"u10105","2014-11-14 09:45:40","2014-11-14 09:46:47","female"
"u10106","2014-11-14 10:17:00","2014-11-14 10:17:46","female"
"u10107","2014-11-14 10:27:23","2014-11-14 10:28:25","female"
"u10108","2014-11-14 10:37:57","2014-11-14 10:38:37","female"
