"session_id","sequence_order","category_a","category_b","category_c","category_d"
"u10001",1,"A00001","B00001","C00001","D00001"
"u10002",1,"A00002","B00002","C00002","D24897"
"u10003",1,"A00002","B00002","C00002","D00002"
"u10003",2,"A00002","B00002","C00003","D00003"
"u10003",3,"A00002","B00002","C00007","D00007"
"u10003",4,"A00002","B00002","C00002","D00009"
"u10003",5,"A00002","B00002","C00003","D00010"
"u10003",6,"A00002","B00002","C00007","D00011"
"u10003",7,"A00002","B00002","C00002","D00012"
"u10003",8,"A00002","B00002","C00007","D00014"
"u10003",9,"A00002","B00002","C00003","D00017"
"u10003",10,"A00002","B00002","C00011","D00021"
"u10003",11,"A00002","B00002","C00004","D00023"
"u10003",12,"A00002","B00002","C00012","D00025"
"u10004",1,"A00002","B00006","C00015","D00030"
"u10005",1,"A00002","B00002","C00003","D00033"
"u10005",2,"A00002","B00002","C00007","D00035"
"u10005",3,"A00002","B00002","C00007","D00038"
"u10006",1,"A00002","B00007","C00016","D00836"
"u10007",1,"A00002","B00006","C00030","D05969"
"u10007",2,"A00002","B00006","C00030","D05970"
"u10007",3,"A00002","B00006","C00030","D05971"
"u10007",4,"A00002","B00006","C00030","D05972"
"u10007",5,"A00002","B00006","C00030","D05974"
"u10007",6,"A00002","B00006","C00030","D05976"
"u10008",1,"A00002","B00006","C00030","D05978"
"u10008",2,"A00002","B00006","C00015","D05980"
"u10009",1,"A00002","B00002","C00002","D06873"
"u10010",1,"A00002","B00011","C00180","D14591"
"u10011",1,"A00002","B00003","C00014","D17508"
"u10011",2,"A00002","B00003","C00005","D17510"
"u10011",3,"A00002","B00003","C00005","D17512"
"u10012",1,"A00002","B00007","C00016","D18222"
"u10012",2,"A00002","B00007","C00016","D18223"
"u10012",3,"A00002","B00006","C00015","D18224"
"u10013",1,"A00002","B00001","C00010","D18416"
"u10014",1,"A00002","B00003","C00006","D19760"
"u10014",2,"A00002","B00001","C00010","D18416"
"u10014",3,"A00002","B00003","C00006","D19761"
"u10014",4,"A00002","B00003","C00006","D08538"
"u10015",1,"A00002","B00001","C00010","D18416"
"u10016",1,"A00002","B00002","C00007","D19802"
"u10017",1,"A00002","B00001","C00010","D18416"
"u10018",1,"A00003","B00022","C00048","D20036"
"u10018",2,"A00002","B00001","C00010","D18416"
"u10019",1,"A00002","B00001","C00010","D18416"
"u10020",1,"A00002","B00001","C00010","D18416"
"u10020",2,"A00002","B00002","C00002","D19994"
"u10021",1,"A00002","B00001","C00010","D18416"
"u10021",2,"A00002","B00002","C00002","D19994"
"u10022",1,"A00002","B00001","C00010","D18416"
"u10022",2,"A00002","B00002","C00002","D19994"
"u10023",1,"A00002","B00003","C00014","D22960"
"u10024",1,"A00002","B00002","C00002","D19994"
"u10025",1,"A00002","B00002","C00002","D19994"
"u10025",2,"A00002","B00001","C00010","D18416"
"u10026",1,"A00002","B00002","C00002","D19994"
"u10027",1,"A00002","B00001","C00010","D18416"
"u10028",1,"A00002","B00002","C00002","D19994"
"u10029",1,"A00002","B00001","C00010","D18416"
"u10029",2,"A00002","B00002","C00002","D19994"
"u10030",1,"A00002","B00001","C00010","D18416"
"u10031",1,"A00002","B00002","C00002","D19994"
"u10031",2,"A00002","B00001","C00010","D18416"
"u10032",1,"A00002","B00002","C00002","D19994"
"u10033",1,"A00002","B00002","C00007","D19802"
"u10034",1,"A00002","B00001","C00010","D18416"
"u10034",2,"A00002","B00002","C00007","D19802"
"u10035",1,"A00002","B00001","C00010","D18416"
"u10035",2,"A00002","B00002","C00002","D19994"
"u10036",1,"A00002","B00002","C00002","D19994"
"u10036",2,"A00002","B00001","C00010","D18416"
"u10037",1,"A00002","B00002","C00002","D19994"
"u10037",2,"A00002","B00001","C00010","D18416"
"u10038",1,"A00002","B00002","C00007","D19802"
"u10038",2,"A00002","B00001","C00010","D18416"
"u10039",1,"A00002","B00001","C00010","D18416"
"u10040",1,"A00002","B00001","C00010","D18416"
