"GeneID","Essential","Class","Complex","Phenotype","Motif","Chromosome","Function"
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","?","PS00824",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","?","PS00824",1,"PROTEIN SYNTHESIS"
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","?","PS00825",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","?","PS00825",1,"PROTEIN SYNTHESIS"
"G234065","Non-Essential","ATPases","?","?","?",1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234065","Non-Essential","ATPases","?","?","?",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234065","Non-Essential","ATPases","?","?","?",1,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234065","Non-Essential","ATPases","?","?","?",1,"PROTEIN DESTINATION"
"G234065","Non-Essential","Molecular chaperones","?","?","?",1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234065","Non-Essential","Molecular chaperones","?","?","?",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234065","Non-Essential","Molecular chaperones","?","?","?",1,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234065","Non-Essential","Molecular chaperones","?","?","?",1,"PROTEIN DESTINATION"
"G234070","Non-Essential","ATPases","Cytoskeleton","Mating and sporulation defects","PS00017",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234070","Non-Essential","ATPases","Cytoskeleton","Mating and sporulation defects","PS00017",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234070","Non-Essential","ATPases","Cytoskeleton","Mating and sporulation defects","PS00017",1,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234070","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234070","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234070","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017",1,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234073","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00013",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234073","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00013",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Cell morphology and organelle mutants","PS00741",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Cell morphology and organelle mutants","PS00741",1,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Cell morphology and organelle mutants","PS00741",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Conditional phenotypes","PS00741",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Conditional phenotypes","PS00741",1,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Conditional phenotypes","PS00741",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Mating and sporulation defects","PS00741",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Mating and sporulation defects","PS00741",1,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Mating and sporulation defects","PS00741",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Stress response defects","PS00741",1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Stress response defects","PS00741",1,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","?","Stress response defects","PS00741",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234076","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463",1,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234076","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463",1,"METABOLISM"
"G234076","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463",1,"TRANSCRIPTION"
"G234084","Non-Essential","Protein Kinases","?","?","PS00107",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234084","Non-Essential","Protein Kinases","?","?","PS00107",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234084","Non-Essential","Protein Kinases","?","?","PS00107",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234084","Non-Essential","Protein Kinases","?","?","PS00108",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234084","Non-Essential","Protein Kinases","?","?","PS00108",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234084","Non-Essential","Protein Kinases","?","?","PS00108",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234085","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","?","PS00685",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234085","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","?","PS00685",2,"TRANSCRIPTION"
"G234089","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Nucleic acid metabolism defects","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234089","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Nucleic acid metabolism defects","?",2,"METABOLISM"
"G234093","Non-Essential","Motorproteins","Cytoskeleton","?","PS00017",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234093","Non-Essential","Motorproteins","Cytoskeleton","?","PS00017",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234093","Non-Essential","Motorproteins","Cytoskeleton","?","PS00017",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234096","Non-Essential","Molecular chaperones","?","?","PS00297",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234096","Non-Essential","Molecular chaperones","?","?","PS00297",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234100","Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","?",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234100","Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
